"id","region","year","type","capacity_tra_inst_0","conversion_factor_exo_road_mcar_pkm","conversion_factor_sec_hydrogen","cost_fix_tra","cost_inv_tra","cost_var_tra","lifetime","mileage","occupancy_rate","wacc","bandwidth_type","version","method","source","comment"
1,"DE",2021,"tra_road_mcar_fcev_pass_hydrogen_0",768.0,156.0,33.33,1542.85714,64949.57983,0.03825,13.0,11282.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8Kraft2021c"", ""conversion_factor_sec_hydrogen"": ""8Kraft2021b,8ADAC2023"", ""cost_fix_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""cost_inv_tra"": ""8Kraft2021b,8ADAC2023"", ""cost_var_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""conversion_factor_sec_hydrogen"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data."", ""cost_fix_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. "", ""cost_inv_tra"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data. ""}"
2,"DE",2024,"tra_road_mcar_fcev_pass_hydrogen_0",576.0,156.0,33.33,1542.85714,64949.57983,0.03825,13.0,11702.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8Kraft2021c,8DLR2023"", ""conversion_factor_sec_hydrogen"": ""8Kraft2021b,8ADAC2023"", ""cost_fix_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""cost_inv_tra"": ""8Kraft2021b,8ADAC2023"", ""cost_var_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_inst_0"": ""Linear reduction of stock over lifetime"", ""conversion_factor_sec_hydrogen"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data."", ""cost_fix_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. "", ""cost_inv_tra"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data. ""}"
3,"DE",2027,"tra_road_mcar_fcev_pass_hydrogen_0",384.0,156.0,33.33,1542.85714,64949.57983,0.03825,13.0,11966.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8Kraft2021c,8DLR2023"", ""conversion_factor_sec_hydrogen"": ""8Kraft2021b,8ADAC2023"", ""cost_fix_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""cost_inv_tra"": ""8Kraft2021b,8ADAC2023"", ""cost_var_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_inst_0"": ""Linear reduction of stock over lifetime"", ""conversion_factor_sec_hydrogen"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data."", ""cost_fix_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. "", ""cost_inv_tra"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data. ""}"
4,"DE",2030,"tra_road_mcar_fcev_pass_hydrogen_0",192.0,156.0,33.33,1542.85714,64949.57983,0.03825,13.0,12037.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8Kraft2021c,8DLR2023"", ""conversion_factor_sec_hydrogen"": ""8Kraft2021b,8ADAC2023"", ""cost_fix_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""cost_inv_tra"": ""8Kraft2021b,8ADAC2023"", ""cost_var_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_inst_0"": ""Linear reduction of stock over lifetime"", ""conversion_factor_sec_hydrogen"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data."", ""cost_fix_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. "", ""cost_inv_tra"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data. ""}"
5,"DE",2035,"tra_road_mcar_fcev_pass_hydrogen_0",0.0,156.0,33.33,1542.85714,64949.57983,0.03825,13.0,12384.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8Kraft2021c,8DLR2023"", ""conversion_factor_sec_hydrogen"": ""8Kraft2021b,8ADAC2023"", ""cost_fix_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""cost_inv_tra"": ""8Kraft2021b,8ADAC2023"", ""cost_var_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_inst_0"": ""Linear reduction of stock over lifetime"", ""conversion_factor_sec_hydrogen"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data."", ""cost_fix_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. "", ""cost_inv_tra"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data. ""}"
6,"DE",2040,"tra_road_mcar_fcev_pass_hydrogen_0",0.0,156.0,33.33,1542.85714,64949.57983,0.03825,13.0,12805.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8Kraft2021c,8DLR2023"", ""conversion_factor_sec_hydrogen"": ""8Kraft2021b,8ADAC2023"", ""cost_fix_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""cost_inv_tra"": ""8Kraft2021b,8ADAC2023"", ""cost_var_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_inst_0"": ""Linear reduction of stock over lifetime"", ""conversion_factor_sec_hydrogen"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data."", ""cost_fix_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. "", ""cost_inv_tra"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data. ""}"
7,"DE",2045,"tra_road_mcar_fcev_pass_hydrogen_0",0.0,156.0,33.33,1542.85714,64949.57983,0.03825,13.0,13237.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8Kraft2021c,8DLR2023"", ""conversion_factor_sec_hydrogen"": ""8Kraft2021b,8ADAC2023"", ""cost_fix_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""cost_inv_tra"": ""8Kraft2021b,8ADAC2023"", ""cost_var_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_inst_0"": ""Linear reduction of stock over lifetime"", ""conversion_factor_sec_hydrogen"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data."", ""cost_fix_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. "", ""cost_inv_tra"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data. ""}"
8,"DE",2050,"tra_road_mcar_fcev_pass_hydrogen_0",0.0,156.0,33.33,1542.85714,64949.57983,0.03825,13.0,13610.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8Kraft2021c,8DLR2023"", ""conversion_factor_sec_hydrogen"": ""8Kraft2021b,8ADAC2023"", ""cost_fix_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""cost_inv_tra"": ""8Kraft2021b,8ADAC2023"", ""cost_var_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_inst_0"": ""Linear reduction of stock over lifetime"", ""conversion_factor_sec_hydrogen"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data."", ""cost_fix_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. "", ""cost_inv_tra"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data. ""}"
9,"DE",2060,"tra_road_mcar_fcev_pass_hydrogen_0",0.0,156.0,33.33,1542.85714,64949.57983,0.03825,13.0,14258.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8Kraft2021c,8DLR2023"", ""conversion_factor_sec_hydrogen"": ""8Kraft2021b,8ADAC2023"", ""cost_fix_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""cost_inv_tra"": ""8Kraft2021b,8ADAC2023"", ""cost_var_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_inst_0"": ""Linear reduction of stock over lifetime"", ""conversion_factor_sec_hydrogen"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data."", ""cost_fix_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. "", ""cost_inv_tra"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data. ""}"
10,"DE",2070,"tra_road_mcar_fcev_pass_hydrogen_0",0.0,156.0,33.33,1542.85714,64949.57983,0.03825,13.0,14823.0,1.56,"global_scalars.wacc","{}","srd_point_sedos","{""conversion_factor_exo_road_mcar_pkm"": ""100 km as a standard unit denominator (kWh/100 km) for car consumption multiplied by occupancy rate"", ""cost_var_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. Divided by occupancy_rate/tonnage to convert into pkm/tkm specific value."", ""mileage"": ""Calculated based on the projected transport demand and fleet size, while using the assumed occupancy rate: mileage = demand/fleet/occupency rate"", ""occupancy_rate"": ""Average per vehicle size class, based on MiD, 2017 (table AA15).""}","{""capacity_tra_inst_0"": ""8Kraft2021c,8DLR2023"", ""conversion_factor_sec_hydrogen"": ""8Kraft2021b,8ADAC2023"", ""cost_fix_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""cost_inv_tra"": ""8Kraft2021b,8ADAC2023"", ""cost_var_tra"": ""8Kraft2023,8ADAC2023,8ADAC2023b"", ""lifetime"": ""8Kraft2011"", ""mileage"": ""8HarthForst2023"", ""occupancy_rate"": ""8HarthForst2023,8infas2018""}","{""capacity_tra_inst_0"": ""Linear reduction of stock over lifetime"", ""conversion_factor_sec_hydrogen"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data."", ""cost_fix_tra"": ""Own analysis based on 8Kraft2023 and [ADAC, 2023a, 2023b] data. "", ""cost_inv_tra"": ""Own analysis based on 8Kraft2021b and 8ADAC2023 data. ""}"
